counselor	cố vấn
witness	nhân chứng
chapter	chương
fellow	đồng bào
divorce	ly hôn
owe	nợ
pipe	ống
athletic	Khỏe mạnh
slight	nhẹ
math	môn Toán
shade	bóng râm
tail	đuôi
sustain	duy trì
mount	gắn kết
obligation	nghĩa vụ
angle	góc
palm	lòng bàn tay
differ	khác nhau
custom	tập quán
store	cửa hàng
economist	nhà kinh tế học
fifteen	mười lăm
soup	Súp
celebration	lễ kỷ niệm
efficient	hiệu quả
damage	hư hại
composition	thành phần
satisfy	làm vui lòng
briefly	ngắn gọn
carbon	carbon
closer	gần hơn
consume	tiêu dùng
scheme	kế hoạch
crack	bẻ khóa
frequency	tần số
tobacco	thuốc lá
survivor	người sống sót
besides	ngoài ra
in	trong
psychologist	nhà tâm lý học
wealthy	giàu có
galaxy	Thiên hà
given	được
fund	quỹ
ski	trượt tuyết
limitation	giới hạn
OK	được
trace	dấu vết
appointment	cuộc hẹn
preference	sở thích
meter	mét
explosion	nổ
arrest	bắt giữ
publicly	công khai
incredible	đáng kinh ngạc
fighter	đấu sĩ
rapid	nhanh
admission	nhận vào
hunter	thợ săn
educate	giáo dục
painful	đau đớn
friendship	hữu nghị
aide	trợ lý
infant	trẻ sơ sinh
calculate	tính toán
fifty	năm mươi
rid	thoát khỏi
porch	hiên nhà
tendency	khuynh hướng
uniform	đồng phục
formation	sự hình thành
scholarship	học bổng
reservation	đặt phòng
efficiency	hiệu quả
waste	chất thải
qualify	đủ tiêu chuẩn
mall	trung tâm mua sắm
derive	lấy được
scandal	vụ bê bối
PC	PC
helpful	Hữu ích
impress	gây ấn tượng
heel	gót chân
resemble	giống
privacy	riêng tư
fabric	vải
surprise	sự ngạc nhiên
contest	Cuộc thi
proportion	tỉ lệ
guideline	hướng dẫn
rifle	súng trường
maintenance	bảo trì
conviction	lòng tin chắc
trick	lừa
organic	hữu cơ
tent	lều
examination	kiểm tra
publisher	nhà xuất bản
strengthen	củng cố
French	người Pháp
proposed	đề xuất
myth	huyền thoại
sophisticated	tinh vi
cow	bò
