counselor	cố vấn
witness	nhân chứng
chapter	chương
fellow	đồng bào
divorce	ly hôn
owe	nợ
pipe	ống
athletic	Khỏe mạnh
slight	nhẹ
math	môn Toán
shade	bóng râm
tail	đuôi
sustain	duy trì
mount	gắn kết
obligation	nghĩa vụ
angle	góc
palm	lòng bàn tay
differ	khác nhau
custom	tập quán
store	cửa hàng
economist	nhà kinh tế học
fifteen	mười lăm
soup	Súp
celebration	lễ kỷ niệm
efficient	hiệu quả
damage	hư hại
composition	thành phần
satisfy	làm vui lòng
pile	Đóng cọc
briefly	ngắn gọn
carbon	carbon
closer	gần hơn
consume	tiêu dùng
scheme	kế hoạch
