cố vấn	counselor
nhân chứng	witness
chương	chapter
đồng bào	fellow
ly hôn	divorce
nợ	owe
ống	pipe
Khỏe mạnh	athletic
nhẹ	slight
môn Toán	math
bóng râm	shade
đuôi	tail
duy trì	sustain
gắn kết	mount
nghĩa vụ	obligation
góc	angle
lòng bàn tay	palm
khác nhau	differ
tập quán	custom
cửa hàng	store
nhà kinh tế học	economist
mười lăm	fifteen
Súp	soup
lễ kỷ niệm	celebration
hiệu quả	efficient
hư hại	damage
thành phần	composition
làm vui lòng	satisfy
ngắn gọn	briefly
carbon	carbon
gần hơn	closer
tiêu dùng	consume
kế hoạch	scheme
bẻ khóa	crack
tần số	frequency
thuốc lá	tobacco
người sống sót	survivor
ngoài ra	besides
trong	in
nhà tâm lý học	psychologist
giàu có	wealthy
Thiên hà	galaxy
được	given
quỹ	fund
trượt tuyết	ski
giới hạn	limitation
được	OK
dấu vết	trace
cuộc hẹn	appointment
sở thích	preference
mét	meter
nổ	explosion
bắt giữ	arrest
công khai	publicly
đáng kinh ngạc	incredible
đấu sĩ	fighter
nhanh	rapid
nhận vào	admission
thợ săn	hunter
giáo dục	educate
đau đớn	painful
hữu nghị	friendship
trợ lý	aide
trẻ sơ sinh	infant
tính toán	calculate
năm mươi	fifty
thoát khỏi	rid
hiên nhà	porch
khuynh hướng	tendency
đồng phục	uniform
sự hình thành	formation
học bổng	scholarship
đặt phòng	reservation
hiệu quả	efficiency
chất thải	waste
đủ tiêu chuẩn	qualify
trung tâm mua sắm	mall
lấy được	derive
vụ bê bối	scandal
PC	PC
