của	of
một	a
trong	in
nó	it
tôi	I
cái đó	that
cho	for
bạn	you
anh ta	he
với	with
trên	on
làm	do
Nói	say
điều này	this
họ	they
tại	at
nhưng	but
chúng tôi	we
của anh ấy	his
từ	from
cái đó	that
không phải	not
bởi	by
chị ấy	she
hoặc là	or
như	as
gì	what
đi	go
họ	their
có thể	can
người nào	who
được	get
nếu	if
sẽ	would
cô ấy	her
tất cả các	all
tôi	my
chế tạo	make
trong khoảng	about
biết	know
sẽ	will
như	as
lên	up
một	one
thời gian	time
ở đó	there
năm	year
vì thế	so
suy nghĩ	think
khi nào	when
mà	which
họ	them
một số	some
tôi	me
những người	people
lấy	take
ngoài	out
vào	into
chỉ	just
xem	see
anh ta	him
của bạn	your
đến	come
có thể	could
hiện nay	now
hơn	than
như	like
khác	other
làm sao	how
sau đó	then
của nó	its
của chúng ta	our
hai	two
hơn	more
những	these
muốn	want
đường	way
nhìn	look
Đầu tiên	first
cũng thế	also
Mới	new
bởi vì	because
ngày	day
hơn	more
sử dụng	use
Không	no
Đàn ông	man
tìm thấy	find
đây	here
Điều	thing
đưa cho	give
nhiều	many
tốt	well
chỉ có	only
những	those
cái đó	those
nói	tell
một	one
rất	very
cô ấy	her
cũng	even
trở lại	back
bất kì	any
tốt	good
đàn bà	woman
xuyên qua	through
chúng tôi	us
đời sống	life
đứa trẻ	child
ở đó	there
công việc	work
xuống	down
Tháng Năm	may
sau	after
Nên	should
gọi	call
thế giới	world
kết thúc	over
trường học	school
vẫn	still
thử	try
trong	in
như	as
Cuối cùng	last
hỏi	ask
nhu cầu	need
quá	too
cảm thấy	feel
số ba	three
khi nào	when
tiểu bang	state
không bao giờ	never
trở nên	become
giữa	between
cao	high
có thật không	really
cái gì đó	something
phần lớn	most
khác	another
nhiều	much
gia đình	family
sở hữu	own
ngoài	out
rời khỏi	leave
đặt	put
cũ	old
trong khi	while
nghĩa là	mean
trên	on
giữ	keep
sinh viên	student
tại sao	why
để cho	let
tuyệt quá	great
tương tự	same
lớn	big
nhóm	group
bắt đầu	begin
hình như	seem
Quốc gia	country
Cứu giúp	help
nói chuyện	talk
Ở đâu	where
xoay	turn
vấn đề	problem
mỗi	every
khởi đầu	start
tay	hand
có thể	might
Người Mỹ	American
chỉ	show
phần	part
trong khoảng	about
chống lại	against
địa điểm	place
kết thúc	over
như là	such
lần nữa	again
vài	few
trường hợp	case
phần lớn	most
tuần	week
Công ty	company
Ở đâu	where
hệ thống	system
mỗi	each
đúng	right
chương trình	program
Nghe	hear
vì thế	so
câu hỏi	question
suốt trong	during
công việc	work
chơi	play
chính quyền	government
chạy	run
nhỏ bé	small
con số	number
tắt	off
luôn luôn	always
di chuyển	move
như	like
đêm	night
trực tiếp	live
Ông	Mr
điểm	point
tin	believe
giữ	hold
hôm nay	today
mang đến	bring
xảy ra	happen
kế tiếp	next
không có	without
trước	before
lớn	large
tất cả các	all
triệu	million
phải	must
nhà	home
Dưới	under
Nước	water
phòng	room
viết	write
mẹ	mother
khu vực	area
Quốc gia	national
tiền bạc	money
câu chuyện	story
trẻ	young
thực tế	fact
tháng	month
khác nhau	different
nhiều	lot
đúng	right
học	study
sách	book
mắt	eye
việc làm	job
từ	word
Tuy nhiên	though
kinh doanh	business
vấn đề	issue
bên	side
loại	kind
bốn	four
cái đầu	head
xa	far
đen	black
Dài	long
cả hai	both
ít	little
nhà ở	house
Vâng	yes
sau	after
kể từ	since
Dài	long
cung cấp	provide
dịch vụ	service
xung quanh	around
người bạn	friend
quan trọng	important
cha	father
ngồi	sit
xa	away
cho đến	until
quyền lực	power
giờ	hour
trò chơi	game
thường xuyên	often
chưa	yet
hàng	line
chính trị	political
kết thúc	end
trong số	among
không bao giờ	ever
đứng	stand
xấu	bad
thua	lose
Tuy nhiên	however
hội viên	member
trả	pay
pháp luật	law
gặp	meet
xe hơi	car
thành phố	city
hầu hết	almost
bao gồm	include
tiếp tục	continue
bộ	set
một lát sau	later
cộng đồng	community
nhiều	much
Tên	name
số năm	five
Một lần	once
trắng	white
ít nhất	least
chủ tịch	president
học hỏi	learn
thực	real
thay đổi	change
đội	team
phút	minute
tốt	best
một số	several
ý kiến	idea
đứa trẻ	kid
thân hình	body
thông tin	information
không có gì	nothing
trước	ago
đúng	right
xã hội	social
hiểu không	understand
liệu	whether
trở lại	back
đồng hồ đeo tay	watch
cùng với nhau	together
theo	follow
xung quanh	around
cha mẹ	parent
chỉ có	only
dừng lại	stop
đối mặt	face
bất cứ điều gì	anything
tạo nên	create
công cộng	public
đã	already
nói	speak
Khác	others
đọc	read
cấp độ	level
cho phép	allow
thêm vào	add
văn phòng	office
tiêu	spend
cửa	door
Sức khỏe	health
người	person
nghệ thuật	art
chắc chắn rồi	sure
như là	such
chiến tranh	war
lịch sử	history
buổi tiệc	party
bên trong	within
lớn lên	grow
kết quả	result
mở	open
thay đổi	change
buổi sáng	morning
đi bộ	walk
lý do	reason
thấp	low
thắng lợi	win
nghiên cứu	research
con gái	girl
chàng	guy
sớm	early
món ăn	food
trước	before
chốc lát	moment
bản thân anh ấy	himself
không khí	air
giáo viên	teacher
lực lượng	force
phục vụ	offer
đủ	enough
cả hai	both
giáo dục	education
băng qua	across
mặc dù	although
nhớ lại	remember
chân	foot
thứ hai	second
con trai	boy
có lẽ	maybe
đối với	toward
có thể	able
tuổi tác	age
tắt	off
chính sách	policy
mọi điều	everything
yêu	love
quá trình	process
Âm nhạc	music
kể cả	including
xem xét	consider
xuất hiện	appear
thực ra	actually
mua	buy
có lẽ	probably
Nhân loại	human
chờ đợi	wait
phục vụ	serve
thị trường	market
chết	die
gửi	send
chờ đợi	expect
nhà	home
giác quan	sense
xây dựng	build
ở lại	stay
ngã	fall
Oh	oh
quốc gia	nation
kế hoạch	plan
cắt tỉa	cut
trường đại học	college
